"","ObservedDate","County","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"1774","7/3/2021","Salem","NJ",2021,184,"7/18/2021","7/17/2018",-15,1082,1
"1775","7/3/2021","Union","NJ",2021,184,"7/18/2021","7/17/2018",-15,1082,2
"1776","9/8/2017","Berks","PA",2017,251,"11/7/2017","9/22/2014",-60,1082,1
"1777","7/4/2021","Camden","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,3
"1778","7/4/2021","Essex","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,2
"1779","7/4/2021","Gloucester","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,2
"1780","7/4/2021","Hunterdon","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,1
"1781","7/4/2021","Morris","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,1
"1782","7/4/2021","Somerset","NJ",2021,185,"7/18/2021","7/17/2018",-14,1083,4
"1783","7/5/2021","Burlington","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,5
"1784","7/5/2021","Camden","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,2
"1785","7/5/2021","Gloucester","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,2
"1786","7/5/2021","Hunterdon","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,1
"1787","7/5/2021","Mercer","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,8
"1788","7/5/2021","Somerset","NJ",2021,186,"7/18/2021","7/17/2018",-13,1084,3
"1789","9/10/2017","Lehigh","PA",2017,253,"11/7/2017","9/22/2014",-58,1084,2
"1790","7/6/2021","Gloucester","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,1
"1791","7/6/2021","Hudson","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,2
"1792","7/6/2021","Hunterdon","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,2
"1793","7/6/2021","Mercer","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,3
"1794","7/6/2021","Middlesex","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,1
"1795","7/6/2021","Morris","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,3
"1796","7/6/2021","Somerset","NJ",2021,187,"7/18/2021","7/17/2018",-12,1085,1
"1797","7/7/2021","Burlington","NJ",2021,188,"7/18/2021","7/17/2018",-11,1086,1
"1798","7/7/2021","Gloucester","NJ",2021,188,"7/18/2021","7/17/2018",-11,1086,2
"1799","7/7/2021","Hunterdon","NJ",2021,188,"7/18/2021","7/17/2018",-11,1086,1
"1800","7/7/2021","Mercer","NJ",2021,188,"7/18/2021","7/17/2018",-11,1086,3
"1801","7/7/2021","Middlesex","NJ",2021,188,"7/18/2021","7/17/2018",-11,1086,4
"1802","7/8/2021","Burlington","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,2
"1803","7/8/2021","Gloucester","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,2
"1804","7/8/2021","Hudson","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,1
"1805","7/8/2021","Mercer","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,2
"1806","7/8/2021","Middlesex","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,1
"1807","7/8/2021","Morris","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,1
"1808","7/8/2021","Somerset","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,1
"1809","7/8/2021","Union","NJ",2021,189,"7/18/2021","7/17/2018",-10,1087,1
"1810","7/9/2021","Bergen","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,1
"1811","7/9/2021","Burlington","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,1
"1812","7/9/2021","Hudson","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,1
"1813","7/9/2021","Hunterdon","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,1
"1814","7/9/2021","Middlesex","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,6
"1815","7/9/2021","Morris","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,2
"1816","7/9/2021","Somerset","NJ",2021,190,"7/18/2021","7/17/2018",-9,1088,2
"1817","7/10/2021","Bergen","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1818","7/10/2021","Burlington","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,2
"1819","7/10/2021","Camden","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,2
"1820","7/10/2021","Gloucester","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,2
"1821","7/10/2021","Hunterdon","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1822","7/10/2021","Mercer","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,5
"1823","7/10/2021","Middlesex","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1824","7/10/2021","Morris","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1825","7/10/2021","Somerset","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,6
"1826","7/10/2021","Union","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1827","7/10/2021","Warren","NJ",2021,191,"7/18/2021","7/17/2018",-8,1089,1
"1828","9/15/2017","Bucks","PA",2017,258,"11/7/2017","9/22/2014",-53,1089,1
"1829","7/11/2021","Burlington","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,2
"1830","7/11/2021","Camden","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,4
"1831","7/11/2021","Gloucester","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,1
"1832","7/11/2021","Mercer","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,2
"1833","7/11/2021","Middlesex","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,4
"1834","7/11/2021","Monmouth","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,1
"1835","7/11/2021","Morris","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,1
"1836","7/11/2021","Somerset","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,4
"1837","7/11/2021","Union","NJ",2021,192,"7/18/2021","7/17/2018",-7,1090,2
"1838","7/12/2021","Burlington","NJ",2021,193,"7/18/2021","7/17/2018",-6,1091,2
"1839","7/12/2021","Camden","NJ",2021,193,"7/18/2021","7/17/2018",-6,1091,1
"1840","7/12/2021","Middlesex","NJ",2021,193,"7/18/2021","7/17/2018",-6,1091,1
"1841","7/12/2021","Somerset","NJ",2021,193,"7/18/2021","7/17/2018",-6,1091,2
"1842","7/13/2021","Burlington","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,1
"1843","7/13/2021","Gloucester","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,2
"1844","7/13/2021","Hunterdon","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,1
"1845","7/13/2021","Mercer","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,1
"1846","7/13/2021","Middlesex","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,5
"1847","7/13/2021","Morris","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,1
"1848","7/13/2021","Somerset","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,2
"1849","7/13/2021","Union","NJ",2021,194,"7/18/2021","7/17/2018",-5,1092,1
"1850","7/14/2021","Camden","NJ",2021,195,"7/18/2021","7/17/2018",-4,1093,1
"1851","7/14/2021","Gloucester","NJ",2021,195,"7/18/2021","7/17/2018",-4,1093,1
"1852","7/14/2021","Hunterdon","NJ",2021,195,"7/18/2021","7/17/2018",-4,1093,1
"1853","7/14/2021","Morris","NJ",2021,195,"7/18/2021","7/17/2018",-4,1093,2
"1854","7/14/2021","Somerset","NJ",2021,195,"7/18/2021","7/17/2018",-4,1093,3
"1855","9/19/2017","Berks","PA",2017,262,"11/7/2017","9/22/2014",-49,1093,1
"1856","7/15/2021","Burlington","NJ",2021,196,"7/18/2021","7/17/2018",-3,1094,3
"1857","7/15/2021","Gloucester","NJ",2021,196,"7/18/2021","7/17/2018",-3,1094,2
"1858","7/15/2021","Mercer","NJ",2021,196,"7/18/2021","7/17/2018",-3,1094,4
"1859","7/15/2021","Somerset","NJ",2021,196,"7/18/2021","7/17/2018",-3,1094,4
"1860","7/15/2021","Warren","NJ",2021,196,"7/18/2021","7/17/2018",-3,1094,1
"1861","7/16/2021","Camden","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,1
"1862","7/16/2021","Cumberland","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,1
"1863","7/16/2021","Hunterdon","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,1
"1864","7/16/2021","Mercer","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,1
"1865","7/16/2021","Middlesex","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,3
"1866","7/16/2021","Somerset","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,3
"1867","7/16/2021","Warren","NJ",2021,197,"7/18/2021","7/17/2018",-2,1095,1
"1868","9/21/2017","Berks","PA",2017,264,"11/7/2017","9/22/2014",-47,1095,1
"1869","7/17/2021","Camden","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,1
"1870","7/17/2021","Hunterdon","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,1
"1871","7/17/2021","Mercer","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,1
"1872","7/17/2021","Middlesex","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,5
"1873","7/17/2021","Morris","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,1
"1874","7/17/2021","Somerset","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,3
"1875","7/17/2021","Union","NJ",2021,198,"7/18/2021","7/17/2018",-1,1096,3
"1876","7/18/2021","Camden","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,1
"1877","7/18/2021","Hunterdon","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,1
"1878","7/18/2021","Mercer","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,2
"1879","7/18/2021","Morris","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,1
"1880","7/18/2021","Salem","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,2
"1881","7/18/2021","Somerset","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,4
"1882","7/18/2021","Union","NJ",2021,199,"7/18/2021","7/17/2018",0,1097,3
"1883","7/19/2021","Burlington","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,3
"1884","7/19/2021","Camden","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,2
"1885","7/19/2021","Mercer","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,4
"1886","7/19/2021","Morris","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,1
"1887","7/19/2021","Somerset","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,1
"1888","7/19/2021","Union","NJ",2021,200,"7/18/2021","7/17/2018",1,1098,1
"1889","7/20/2021","Camden","NJ",2021,201,"7/18/2021","7/17/2018",2,1099,1
"1890","7/20/2021","Hudson","NJ",2021,201,"7/18/2021","7/17/2018",2,1099,2
"1891","7/20/2021","Mercer","NJ",2021,201,"7/18/2021","7/17/2018",2,1099,1
"1892","7/20/2021","Middlesex","NJ",2021,201,"7/18/2021","7/17/2018",2,1099,1
"1893","7/20/2021","Somerset","NJ",2021,201,"7/18/2021","7/17/2018",2,1099,10
"1894","7/21/2021","Burlington","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,2
"1895","7/21/2021","Camden","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,1
"1896","7/21/2021","Essex","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,1
"1897","7/21/2021","Hudson","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,1
"1898","7/21/2021","Hunterdon","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,3
"1899","7/21/2021","Mercer","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,2
"1900","7/21/2021","Somerset","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,2
"1901","7/21/2021","Warren","NJ",2021,202,"7/18/2021","7/17/2018",3,1100,1
"1902","7/22/2021","Mercer","NJ",2021,203,"7/18/2021","7/17/2018",4,1101,2
"1903","7/22/2021","Middlesex","NJ",2021,203,"7/18/2021","7/17/2018",4,1101,1
"1904","7/22/2021","Morris","NJ",2021,203,"7/18/2021","7/17/2018",4,1101,1
"1905","7/22/2021","Somerset","NJ",2021,203,"7/18/2021","7/17/2018",4,1101,3
"1906","7/22/2021","Union","NJ",2021,203,"7/18/2021","7/17/2018",4,1101,2
"1907","9/27/2017","Bucks","PA",2017,270,"11/7/2017","9/22/2014",-41,1101,1
"1908","7/23/2021","Burlington","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,3
"1909","7/23/2021","Gloucester","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,1
"1910","7/23/2021","Mercer","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,1
"1911","7/23/2021","Middlesex","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,2
"1912","7/23/2021","Morris","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,1
"1913","7/23/2021","Somerset","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,3
"1914","7/23/2021","Union","NJ",2021,204,"7/18/2021","7/17/2018",5,1102,1
"1915","7/24/2021","Camden","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,2
"1916","7/24/2021","Gloucester","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,1
"1917","7/24/2021","Hunterdon","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,4
"1918","7/24/2021","Mercer","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,2
"1919","7/24/2021","Middlesex","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,2
"1920","7/24/2021","Monmouth","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,1
"1921","7/24/2021","Salem","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,1
"1922","7/24/2021","Somerset","NJ",2021,205,"7/18/2021","7/17/2018",6,1103,4
"1923","7/25/2021","Burlington","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,3
"1924","7/25/2021","Essex","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,1
"1925","7/25/2021","Gloucester","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,2
"1926","7/25/2021","Mercer","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,1
"1927","7/25/2021","Somerset","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,2
"1928","7/25/2021","Warren","NJ",2021,206,"7/18/2021","7/17/2018",7,1104,3
"1929","7/26/2021","Burlington","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,1
"1930","7/26/2021","Gloucester","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,1
"1931","7/26/2021","Mercer","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,1
"1932","7/26/2021","Middlesex","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,3
"1933","7/26/2021","Morris","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,1
"1934","7/26/2021","Somerset","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,2
"1935","7/26/2021","Union","NJ",2021,207,"7/18/2021","7/17/2018",8,1105,1
"1936","7/27/2021","Essex","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,1
"1937","7/27/2021","Hunterdon","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,2
"1938","7/27/2021","Mercer","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,2
"1939","7/27/2021","Middlesex","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,4
"1940","7/27/2021","Ocean","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,1
"1941","7/27/2021","Somerset","NJ",2021,208,"7/18/2021","7/17/2018",9,1106,2
"1942","7/28/2021","Burlington","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,1
"1943","7/28/2021","Essex","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,1
"1944","7/28/2021","Hudson","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,1
"1945","7/28/2021","Middlesex","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,15
"1946","7/28/2021","Somerset","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,5
"1947","7/28/2021","Union","NJ",2021,209,"7/18/2021","7/17/2018",10,1107,1
"1948","7/29/2021","Cumberland","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,1
"1949","7/29/2021","Hudson","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,1
"1950","7/29/2021","Mercer","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,2
"1951","7/29/2021","Middlesex","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,1
"1952","7/29/2021","Salem","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,1
"1953","7/29/2021","Somerset","NJ",2021,210,"7/18/2021","7/17/2018",11,1108,1
"1954","7/30/2021","Bergen","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,1
"1955","7/30/2021","Essex","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,1
"1956","7/30/2021","Hudson","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,1
"1957","7/30/2021","Mercer","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,2
"1958","7/30/2021","Middlesex","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,2
"1959","7/30/2021","Ocean","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,1
"1960","7/30/2021","Somerset","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,5
"1961","7/30/2021","Union","NJ",2021,211,"7/18/2021","7/17/2018",12,1109,2
"1962","7/31/2021","Camden","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,1
"1963","7/31/2021","Gloucester","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,1
"1964","7/31/2021","Mercer","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,4
"1965","7/31/2021","Middlesex","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,6
"1966","7/31/2021","Morris","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,3
"1967","7/31/2021","Somerset","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,1
"1968","7/31/2021","Sussex","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,1
"1969","7/31/2021","Union","NJ",2021,212,"7/18/2021","7/17/2018",13,1110,1
"1970","8/1/2021","Camden","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,1
"1971","8/1/2021","Hunterdon","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,1
"1972","8/1/2021","Mercer","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,1
"1973","8/1/2021","Middlesex","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,5
"1974","8/1/2021","Somerset","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,1
"1975","8/1/2021","Union","NJ",2021,213,"7/18/2021","7/17/2018",14,1111,1
"1976","8/2/2021","Bergen","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,1
"1977","8/2/2021","Burlington","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,3
"1978","8/2/2021","Mercer","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,2
"1979","8/2/2021","Middlesex","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,2
"1980","8/2/2021","Monmouth","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,2
"1981","8/2/2021","Morris","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,6
"1982","8/2/2021","Salem","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,2
"1983","8/2/2021","Somerset","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,2
"1984","8/2/2021","Union","NJ",2021,214,"7/18/2021","7/17/2018",15,1112,1
"1985","10/8/2017","Lehigh","PA",2017,281,"11/7/2017","9/22/2014",-30,1112,1
"1986","8/3/2021","Bergen","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,1
"1987","8/3/2021","Burlington","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,2
"1988","8/3/2021","Camden","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,1
"1989","8/3/2021","Mercer","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,3
"1990","8/3/2021","Middlesex","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,6
"1991","8/3/2021","Monmouth","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,1
"1992","8/3/2021","Morris","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,2
"1993","8/3/2021","Somerset","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,7
"1994","8/3/2021","Union","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,2
"1995","8/3/2021","Warren","NJ",2021,215,"7/18/2021","7/17/2018",16,1113,1
"1996","8/4/2021","Burlington","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,2
"1997","8/4/2021","Camden","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,1
"1998","8/4/2021","Essex","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,1
"1999","8/4/2021","Mercer","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,2
"2000","8/4/2021","Middlesex","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,6
"2001","8/4/2021","Monmouth","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,1
"2002","8/4/2021","Somerset","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,2
"2003","8/4/2021","Union","NJ",2021,216,"7/18/2021","7/17/2018",17,1114,1
"2004","10/10/2017","Lehigh","PA",2017,283,"11/7/2017","9/22/2014",-28,1114,2
"2005","8/5/2021","Burlington","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,1
"2006","8/5/2021","Essex","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,2
"2007","8/5/2021","Gloucester","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,2
"2008","8/5/2021","Hudson","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,1
"2009","8/5/2021","Middlesex","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,1
"2010","8/5/2021","Monmouth","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,1
"2011","8/5/2021","Morris","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,2
"2012","8/5/2021","Somerset","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,10
"2013","8/5/2021","Union","NJ",2021,217,"7/18/2021","7/17/2018",18,1115,2
"2014","8/6/2021","Burlington","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,1
"2015","8/6/2021","Camden","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,3
"2016","8/6/2021","Essex","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,3
"2017","8/6/2021","Hudson","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,1
"2018","8/6/2021","Hunterdon","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,2
"2019","8/6/2021","Mercer","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,10
"2020","8/6/2021","Middlesex","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,6
"2021","8/6/2021","Somerset","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,5
"2022","8/6/2021","Union","NJ",2021,218,"7/18/2021","7/17/2018",19,1116,2
"2023","8/7/2021","Burlington","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,2
"2024","8/7/2021","Essex","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,5
"2025","8/7/2021","Gloucester","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,1
"2026","8/7/2021","Hudson","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,5
"2027","8/7/2021","Hunterdon","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,3
"2028","8/7/2021","Mercer","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,2
"2029","8/7/2021","Middlesex","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,2
"2030","8/7/2021","Monmouth","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,2
"2031","8/7/2021","Morris","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,2
"2032","8/7/2021","Passaic","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,1
"2033","8/7/2021","Salem","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,1
"2034","8/7/2021","Somerset","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,4
"2035","8/7/2021","Union","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,5
"2036","8/7/2021","Warren","NJ",2021,219,"7/18/2021","7/17/2018",20,1117,3
"2037","8/8/2021","Bergen","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,2
"2038","8/8/2021","Essex","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,1
"2039","8/8/2021","Gloucester","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,1
"2040","8/8/2021","Hudson","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,2
"2041","8/8/2021","Hunterdon","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,2
"2042","8/8/2021","Mercer","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,3
"2043","8/8/2021","Middlesex","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,5
"2044","8/8/2021","Morris","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,6
"2045","8/8/2021","Somerset","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,2
"2046","8/8/2021","Union","NJ",2021,220,"7/18/2021","7/17/2018",21,1118,1
"2047","10/14/2017","Lehigh","PA",2017,287,"11/7/2017","9/22/2014",-24,1118,1
"2048","8/9/2021","Bergen","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,1
"2049","8/9/2021","Camden","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,2
"2050","8/9/2021","Hudson","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,6
"2051","8/9/2021","Mercer","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,1
"2052","8/9/2021","Middlesex","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,4
"2053","8/9/2021","Morris","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,4
"2054","8/9/2021","Ocean","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,2
"2055","8/9/2021","Passaic","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,1
"2056","8/9/2021","Somerset","NJ",2021,221,"7/18/2021","7/17/2018",22,1119,1
"2057","10/15/2017","Chester","PA",2017,288,"11/7/2017","9/22/2014",-23,1119,1
"2058","8/10/2021","Camden","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,1
"2059","8/10/2021","Essex","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,2
"2060","8/10/2021","Mercer","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,4
"2061","8/10/2021","Middlesex","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,2
"2062","8/10/2021","Monmouth","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,2
"2063","8/10/2021","Morris","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,2
"2064","8/10/2021","Somerset","NJ",2021,222,"7/18/2021","7/17/2018",23,1120,2
"2065","10/16/2017","Chester","PA",2017,289,"11/7/2017","9/22/2014",-22,1120,1
"2066","10/16/2017","Montgomery","PA",2017,289,"11/7/2017","9/22/2014",-22,1120,1
"2067","8/11/2021","Bergen","NJ",2021,223,"7/18/2021","7/17/2018",24,1121,2
